City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Hermanus,ZA,-34.4187,19.2345,61.81,82,74,2.15,broken clouds
69,Denizli,TR,37.8402,29.0698,53.22,86,63,3.09,broken clouds
70,Shevchenko,UA,48.5,35.0,31.91,42,98,11.7,overcast clouds
71,Lorengau,PG,-2.0226,147.2712,85.37,67,94,5.17,overcast clouds
72,Waingapu,ID,-9.6567,120.2641,79.56,78,100,4.5,overcast clouds
73,Souillac,MU,-20.5167,57.5167,70.18,88,40,4.61,light rain
74,Severo-Kurilsk,RU,50.6789,156.125,30.4,87,66,15.97,snow
75,Cherskiy,RU,68.75,161.3,7.12,96,100,6.22,light snow
76,Nayoro,JP,44.3506,142.4578,18.68,89,100,15.7,snow
77,Sinnamary,GF,5.3833,-52.95,76.66,88,76,9.62,broken clouds
78,Aanekoski,FI,62.6946,25.818,28.47,100,94,2.51,overcast clouds
79,Kavaratti,IN,10.5669,72.642,80.87,74,6,3.42,clear sky
80,Faanui,PF,-16.4833,-151.75,80.51,76,15,14.27,few clouds
81,Sangre Grande,TT,10.5835,-61.1177,78.76,87,2,5.1,clear sky
82,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.2,94,98,2.44,overcast clouds
83,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,86,37,4.43,scattered clouds
84,Pacific Grove,US,36.6177,-121.9166,58.39,58,0,5.75,clear sky
85,Shenjiamen,CN,29.9576,122.298,48.65,88,100,20.02,overcast clouds
86,Haines Junction,CA,60.7522,-137.5108,-16.65,76,99,0.0,overcast clouds
87,Geraldton,AU,-28.7667,114.6,68.41,68,100,6.91,overcast clouds
88,Kamien Pomorski,PL,53.9685,14.7726,33.96,82,85,7.94,overcast clouds
89,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,16.11,broken clouds
90,Busselton,AU,-33.65,115.3333,62.92,76,100,9.75,overcast clouds
91,Vila Velha,BR,-20.3297,-40.2925,76.95,94,100,8.05,overcast clouds
92,Ancud,CL,-41.8697,-73.8203,52.23,67,16,2.71,few clouds
93,Muros,ES,42.7762,-9.0603,48.09,92,95,5.84,overcast clouds
94,Plettenberg Bay,ZA,-34.0527,23.3716,63.46,80,6,4.09,clear sky
95,Lincoln,US,40.8,-96.667,30.11,49,0,3.44,clear sky
96,Kavieng,PG,-2.5744,150.7967,84.38,67,35,3.24,scattered clouds
